iso_code,countries,total_cases_per_million,hospital_beds_per_thousand,gdp_per_capita,ECONOMIC FREEDOM,1_size_government,rank
NER,Niger,40.0,0.0,926.0,6.01,8.99543196,141.0
NIC,Nicaragua,250.0,1.0,5321.0,7.36,8.58306359,111.0
NLD,Netherlands,2847.0,3.0,48473.0,7.96,4.947751146,28.0
NOR,Norway,1592.0,4.0,64800.0,7.73,5.8206164639999995,44.0
NPL,Nepal,213.0,0.0,2443.0,6.59,9.261764706000001,127.0
NZL,New Zealand,240.0,3.0,36086.0,8.84,7.464395405,28.0
OMN,Oman,4802.0,2.0,37961.0,7.57,5.582145205,95.0
PAK,Pakistan,674.0,1.0,5035.0,6.23,8.677756852,135.0
PAN,Panama,4965.0,2.0,22267.0,7.86,8.300729283999999,64.0
PER,Peru,7066.0,2.0,12237.0,7.64,8.211755149,109.0
PHL,Philippines,241.0,1.0,7599.0,7.54,8.794117647,84.0
POL,Poland,787.0,7.0,27216.0,7.43,5.793037765,104.0
PRT,Portugal,3632.0,3.0,27937.0,7.6,5.7066757489999995,69.0
PRY,Paraguay,181.0,1.0,8827.0,7.04,9.305155119,96.0
QAT,Qatar,28072.0,1.0,116936.0,7.68,6.537882662,54.0
ROU,Romania,1152.0,7.0,23313.0,7.74,8.917503944,113.0
RUS,Russia,3681.0,8.0,24766.0,6.83,7.236106411000001,107.0
SAU,Saudi Arabia,3793.0,3.0,49045.0,6.71,5.35,121.0
SDN,Sudan,165.0,1.0,4467.0,5.36,9.441176471,153.0
SGP,Singapore,6977.0,2.0,85535.0,8.98,8.920588235,12.0
SLV,El Salvador,590.0,1.0,7292.0,7.72,9.17961137,87.0
SRB,Serbia,1817.0,6.0,14049.0,6.85,7.032414742,110.0
SUR,Suriname,390.0,3.0,13767.0,6.85,7.10869573,116.0
SVN,Slovenia,720.0,4.0,31401.0,7.08,5.081057546,89.0
SWE,Sweden,5187.0,2.0,46949.0,7.67,3.748188812,43.0
SWZ,Swaziland,436.0,2.0,7739.0,6.58,6.785759024,112.0
SYC,Seychelles,112.0,4.0,26382.0,7.46,7.2926564570000005,58.0
TGO,Togo,64.0,1.0,1430.0,6.25,9.394046775,144.0
THA,Thailand,45.0,2.0,16278.0,7.07,7.889384904,102.0
TJK,Tajikistan,534.0,5.0,2897.0,6.75,6.787930758,113.0
TUN,Tunisia,94.0,2.0,10849.0,6.97,7.308376742999999,121.0
TUR,Turkey,2132.0,3.0,25129.0,7.03,8.311781755,102.0
TZA,Tanzania,9.0,1.0,2683.0,6.92,7.376720087000001,102.0
UGA,Uganda,15.0,0.0,1698.0,7.44,8.770664267,112.0
UKR,Ukraine,727.0,9.0,7894.0,6.24,7.085854562000001,149.0
URY,Uruguay,244.0,3.0,20551.0,7.39,7.817808287,69.0
USA,United States,6387.0,3.0,54225.0,8.62,7.288269804,13.0
VEN,Venezuela,108.0,1.0,16745.0,7.18,7.8098107279999995,162.0
VNM,Vietnam,3.0,3.0,6172.0,6.45,7.647058824,120.0
ZAF,South Africa,1240.0,2.0,12295.0,7.12,7.0955361439999995,94.0
ZMB,Zambia,75.0,2.0,3689.0,7.35,8.34089197,109.0
ZWE,Zimbabwe,26.0,2.0,1900.0,6.06,8.366911765,151.0
